City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Kieta,PG,-6.2167,155.6333,78.84,83,100,2.89,light rain
198,Vila,PT,42.0304,-8.1588,45.32,95,100,5.82,overcast clouds
199,Grand Gaube,MU,-20.0064,57.6608,85.37,69,82,10.0,broken clouds
200,Caravelas,BR,-17.7125,-39.2481,75.16,93,97,4.63,overcast clouds
201,Lagoa,PT,39.05,-27.9833,61.77,82,48,21.07,scattered clouds
202,Sistranda,NO,63.7256,8.834,33.91,70,77,8.86,broken clouds
203,Bengkulu,ID,-3.8004,102.2655,86.04,61,21,7.85,few clouds
204,Butaritari,KI,3.0707,172.7902,82.33,77,12,17.87,few clouds
205,Longyearbyen,SJ,78.2186,15.6401,8.44,92,75,8.05,broken clouds
206,San Quintin,MX,30.4833,-115.95,55.83,69,100,17.81,overcast clouds
207,Arlit,NE,18.7369,7.3853,76.41,9,100,3.71,overcast clouds
208,Touros,BR,-5.1989,-35.4608,74.3,77,42,8.14,scattered clouds
209,Minot,US,48.2325,-101.2963,20.39,73,100,14.97,overcast clouds
210,Poplar Bluff,US,36.757,-90.3929,50.63,57,40,9.22,scattered clouds
211,Abbeville,FR,50.1,1.8333,54.5,93,100,24.16,overcast clouds
212,Mar Del Plata,AR,-38.0023,-57.5575,71.1,76,0,15.01,clear sky
213,Gibsons,CA,49.3997,-123.5027,46.4,90,100,5.01,overcast clouds
214,Stonewall,CA,50.1344,-97.3268,8.94,96,99,8.32,overcast clouds
215,Kavaratti,IN,10.5669,72.642,80.71,68,14,8.79,few clouds
216,Port Elizabeth,ZA,-33.918,25.5701,73.69,83,20,26.46,few clouds
217,Valsad,IN,20.6333,72.9333,84.15,41,0,8.72,clear sky
218,Nanning,CN,22.8167,108.3167,57.65,91,100,4.23,overcast clouds
219,Castro,BR,-24.7911,-50.0119,61.99,94,93,5.5,overcast clouds
220,Vuktyl,RU,63.8567,57.3094,21.51,91,100,9.93,overcast clouds
221,Isangel,VU,-19.55,169.2667,79.83,83,2,6.64,clear sky
222,Krutinka,RU,56.0055,71.5113,10.24,89,53,8.48,broken clouds
223,Baruun-Urt,MN,46.6806,113.2792,1.13,79,27,7.16,scattered clouds
224,Deputatskiy,RU,69.3,139.9,-24.23,98,13,1.36,few clouds
225,Aklavik,CA,68.2191,-135.0107,-26.57,98,16,4.43,few clouds
226,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,58,75,13.42,light snow
227,Bairiki,KI,1.3292,172.9752,82.4,74,75,5.75,broken clouds
228,Miracema Do Tocantins,BR,-9.5618,-48.3967,72.32,96,97,0.94,moderate rain
