City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Onguday,RU,2022-02-15 21:57:40,50.75,86.15,-1.28,91,99,3.85
226,Pimentel,PE,2022-02-15 21:57:41,-6.8367,-79.9342,79.09,57,0,21.85
227,Manta,EC,2022-02-15 21:57:41,-0.95,-80.7333,83.98,70,75,5.75
228,Isangel,VU,2022-02-15 21:52:49,-19.55,169.2667,82.51,83,40,0.0
229,Viedma,AR,2022-02-15 21:57:42,-40.8135,-62.9967,97.54,14,3,11.97
230,Etchoropo,MX,2022-02-15 21:57:42,26.7667,-109.6667,78.08,28,4,10.94
231,Ilulissat,GL,2022-02-15 21:57:43,69.2167,-51.1,-3.26,99,100,1.63
232,San Cristobal,VE,2022-02-15 21:57:43,7.7669,-72.225,71.78,68,100,2.64
233,Bubaque,GW,2022-02-15 21:57:43,11.2833,-15.8333,79.16,68,17,11.3
234,Jumla,NP,2022-02-15 21:57:44,29.2747,82.1838,27.48,81,8,6.02
235,Hearst,CA,2022-02-15 21:57:44,49.6835,-83.6665,10.65,78,93,5.79
236,Hopkinton,US,2022-02-15 21:57:44,41.4612,-71.7776,27.9,49,24,1.99
237,Souillac,MU,2022-02-15 21:57:45,-20.5167,57.5167,79.18,89,40,3.44
238,Princeton,US,2022-02-15 21:54:41,25.5384,-80.4089,73.02,65,100,15.01
239,Chapais,CA,2022-02-15 21:57:45,49.7834,-74.8492,-2.42,85,100,8.9
240,Westport,US,2022-02-15 21:57:46,41.1415,-73.3579,31.24,41,61,5.01
241,Quatre Cocos,MU,2022-02-15 21:57:46,-20.2078,57.7625,78.91,86,50,9.37
242,Liancheng,CN,2022-02-15 21:57:47,24.0519,105.075,48.54,96,87,3.33
243,Lavrentiya,RU,2022-02-15 21:57:47,65.5833,-171.0,-14.69,93,33,6.53
244,Sur,OM,2022-02-15 21:57:47,22.5667,59.5289,69.91,63,0,5.35
245,Honningsvag,NO,2022-02-15 21:57:48,70.9821,25.9704,31.75,74,40,11.5
246,Harrison,US,2022-02-15 21:55:24,30.4091,-89.0436,66.31,51,0,14.97
247,Luderitz,NA,2022-02-15 21:57:48,-26.6481,15.1594,68.04,84,0,10.83
248,Panambi,BR,2022-02-15 21:57:49,-28.2925,-53.5017,86.63,32,0,6.08
249,Arman,RU,2022-02-15 21:57:49,59.7,150.1667,-3.17,77,78,11.74
250,Chardara,KZ,2022-02-15 21:57:50,41.2547,67.9692,31.96,69,48,10.18
251,Kolyshley,RU,2022-02-15 21:57:50,52.7005,44.5367,9.1,93,95,5.44
252,Maniitsoq,GL,2022-02-15 21:57:50,65.4167,-52.9,0.23,87,100,3.89
253,Eyl,SO,2022-02-15 21:57:51,7.9803,49.8164,73.24,68,0,12.26
254,Aksarka,RU,2022-02-15 21:57:51,66.5606,67.7975,-3.86,98,100,7.78
255,Antofagasta,CL,2022-02-15 21:57:52,-23.65,-70.4,70.88,75,20,8.79
256,Fortuna,US,2022-02-15 21:57:52,40.5982,-124.1573,56.86,69,0,17.27
257,Cabo San Lucas,MX,2022-02-15 21:57:45,22.8909,-109.9124,90.52,45,0,10.04
258,Lagoa,PT,2022-02-15 21:57:53,39.05,-27.9833,60.55,90,100,21.43
259,Hamilton,US,2022-02-15 21:53:38,39.1834,-84.5333,49.05,52,80,5.14
260,Kota Belud,MY,2022-02-15 21:57:53,6.351,116.4305,75.06,89,77,3.22
261,Mstera,RU,2022-02-15 21:57:53,56.3789,41.92,21.49,88,61,8.61
262,Maumere,ID,2022-02-15 21:57:54,-8.6199,122.2111,79.03,78,49,1.34
263,Holme,DK,2022-02-15 21:57:54,56.1138,10.1725,39.63,93,100,17.47
264,Ust-Ilimsk,RU,2022-02-15 21:57:55,58.0006,102.6619,-26.0,100,39,1.74
265,Kerch,UA,2022-02-15 21:57:55,45.3583,36.4758,40.57,76,10,5.95
266,Songjianghe,CN,2022-02-15 21:57:56,42.1859,127.479,-2.74,98,100,3.27
267,Idrinskoye,RU,2022-02-15 21:57:56,54.3708,92.1358,5.7,98,100,2.42
268,Nizhneudinsk,RU,2022-02-15 21:57:57,54.9076,99.0276,-4.29,99,100,2.35
269,Swan River,CA,2022-02-15 21:57:57,52.1058,-101.2676,3.09,78,100,8.05
270,Netanya,IL,2022-02-15 21:57:40,32.3329,34.8599,55.42,67,76,6.11
271,Havelock,US,2022-02-15 21:58:58,34.8791,-76.9013,50.02,54,7,10.0
272,Walla Walla,US,2022-02-15 21:55:40,46.0646,-118.343,55.08,58,48,14.0
273,Mata Grande,BR,2022-02-15 21:58:58,-9.1175,-37.7322,82.74,36,26,12.93
274,Henties Bay,NA,2022-02-15 21:58:59,-22.116,14.2845,72.86,88,89,10.0
275,Llata,PE,2022-02-15 21:58:59,-9.4167,-76.7833,58.91,77,91,6.24
276,Navahrudak,BY,2022-02-15 21:59:00,53.6,25.8333,31.77,92,99,8.63
277,Namibe,AO,2022-02-15 21:59:00,-15.1961,12.1522,76.89,73,38,9.71
278,Samarai,PG,2022-02-15 21:59:00,-10.6167,150.6667,82.89,77,99,5.64
279,Kissidougou,GN,2022-02-15 21:59:01,9.1848,-10.0999,77.45,20,5,4.36
280,Mnogovershinnyy,RU,2022-02-15 21:59:01,53.9353,139.9242,-11.94,90,72,4.83
281,Srednekolymsk,RU,2022-02-15 21:59:02,67.45,153.6833,-33.81,100,84,4.99
282,Bethel,US,2022-02-15 21:55:45,41.3712,-73.414,30.07,45,87,7.0
283,Helong,CN,2022-02-15 21:59:02,42.5397,128.9972,-1.28,86,99,5.57
284,La Ronge,CA,2022-02-15 21:59:03,55.1001,-105.2842,7.05,72,100,20.71
285,Hambantota,LK,2022-02-15 21:59:03,6.1241,81.1185,71.94,94,40,5.75
286,Luba,GQ,2022-02-15 21:59:03,3.4568,8.5547,78.69,81,53,8.21
